Z1,24000000Z10C,北京西,长沙,BXP,CSQ
Z2,62000000Z201,长沙,北京西,CSQ,BXP
Z3,24000000Z30I,北京西,重庆北,BXP,CUW
Z4,77000000Z400,重庆北,北京西,CUW,BXP
Z5,24000000Z509,北京西,南宁,BXP,NNZ
Z6,71000000Z602,南宁,北京西,NNZ,BXP
Z7,24000000Z706,北京,青岛北,BJP,QHK
Z8,49000000Z803,青岛北,北京,QHK,BJP
Z9,24000000Z90I,北京,杭州,BJP,HZH
Z10,5600000Z1020,杭州,北京,HZH,BJP
Z11,6500000Z1401,广州东,沈阳北,GGQ,SBT
Z12,1200000Z1206,沈阳北,广州东,SBT,GGQ
Z13,1200000Z1206,沈阳北,广州东,SBT,GGQ
Z14,6500000Z1401,广州东,沈阳北,GGQ,SBT
Z15,2400000Z1500,北京,哈尔滨西,BJP,VAB
Z16,0h00000Z1600,哈尔滨西,北京,VAB,BJP
Z17,2400000Z1730,北京,哈尔滨西,BJP,VAB
Z18,0h00000Z1801,哈尔滨西,北京,VAB,BJP
Z19,2400000Z190H,北京西,西安,BXP,XAY
Z20,4100000Z200H,西安,北京西,XAY,BXP
Z21,2400000Z210A,北京西,拉萨,BXP,LSO
Z22,8800000Z2203,拉萨,北京西,LSO,BXP
Z23,3900000Z2302,武昌,深圳,WCN,SZQ
Z24,6500000Z2409,深圳,武昌,SZQ,WCN
Z25,3900000Z2501,武昌,上海南,WCN,SNH
Z26,5500000Z2703,上海南,武昌,SNH,WCN
Z27,5500000Z2703,上海南,武昌,SNH,WCN
Z28,3900000Z2501,武昌,上海南,WCN,SNH
Z29,2400000Z290C,北京,扬州,BJP,YLH
Z30,5f00000Z3061,扬州,北京,YLH,BJP
Z31,3900000Z3103,武昌,宁波,WCN,NGH
Z32,5e00000Z3203,宁波,武昌,NGH,WCN
Z33,5e00000Z3203,宁波,武昌,NGH,WCN
Z34,3900000Z3103,武昌,宁波,WCN,NGH
Z35,2400000Z3501,北京西,广州,BXP,GZQ
Z36,6300000Z3600,广州,北京西,GZQ,BXP
Z37,2400000Z3708,北京西,武昌,BXP,WCN
Z38,3900000Z3802,武昌,北京西,WCN,BXP
Z39,9300000Z4204,乌鲁木齐,上海,WAR,SHH
Z40,5500000Z4061,上海,乌鲁木齐,SHH,WAR
Z41,5500000Z4061,上海,乌鲁木齐,SHH,WAR
Z42,9300000Z4204,乌鲁木齐,上海,WAR,SHH
Z43,2400000Z4303,北京西,西安,BXP,XAY
Z44,4100000Z4405,西安,北京西,XAY,BXP
Z45,3900000Z4501,武昌,杭州,WCN,HZH
Z46,5600000Z4700,杭州,武昌,HZH,WCN
Z47,5600000Z4700,杭州,武昌,HZH,WCN
Z48,3900000Z4501,武昌,杭州,WCN,HZH
Z49,2400000Z490E,北京西,成都,BXP,CDW
Z50,7600000Z5003,成都,北京西,CDW,BXP
Z51,2400000Z510E,北京,南通,BJP,NUH
Z52,5f00000Z5211,南通,北京,NUH,BJP
Z53,2400000Z530R,北京西,昆明,BXP,KMM
Z54,8000000Z5403,昆明,北京西,KMM,BXP
Z55,2400000Z550L,北京西,兰州,BXP,LZJ
Z56,8500000Z5663,兰州,北京西,LZJ,BXP
Z57,5800000Z600D,福州,北京西,FZS,BXP
Z58,2400000Z590K,北京西,福州,BXP,FZS
Z59,2400000Z590K,北京西,福州,BXP,FZS
Z60,5800000Z600D,福州,北京西,FZS,BXP
Z61,2400000Z610F,北京,长春,BJP,CCT
Z62,1100000Z6208,长春,北京,CCT,BJP
Z63,2400000Z630C,北京,长春,BJP,CCT
Z64,1100000Z6403,长春,北京,CCT,BJP
Z65,2400000Z650K,北京西,南昌,BXP,NCG
Z66,5700000Z660E,南昌,北京西,NCG,BXP
Z67,2400000Z670M,北京西,南昌,BXP,NCG
Z68,5700000Z680G,南昌,北京西,NCG,BXP
Z69,2400000Z690D,北京西,乌鲁木齐,BXP,WAR
Z70,9300000Z7002,乌鲁木齐,北京西,WAR,BXP
Z71,2400000Z7109,北京,三明北,BJP,SHS
Z72,5u00000Z7205,三明北,北京,SHS,BJP
Z75,2400000Z7507,北京西,兰州,BXP,LZJ
